Review,Stars
"I use this for all my purposes. I even transfer funds from my other accounts, icici to Kotak to transact.

Gets the work done without hassle.

Ok. Mouthshut needs 400 words. gonna write some more.

Features I am delighted with are fund transfer without adding payee, investment, service req...Read More",5
"1.Kotak 811 is a new age banking. you can open kotak 811 account by downloading kotak mobile app by registering aadhar card , pan card and other details.2.Kotak 811 is design so that anyone can use it without much difficulties. it is very easy and simple to use.3.There is lots of feature involve...Read More",4
"Kotak 811 banking app its a one of the best ever mobile bank app done by any bank, pure clyster clear user interface very clean even amuture people also use very easy funds sending like a jet speed even customar care also user friendly

...Read More",5
"WORST, FOOLING, LYING, DISGUSTING, GREEDY, CHEATING and CHEAP services from kotak 811.

Such a CHEAP AND DISGUSTING services from kotak 811 you people are so SHAMELESS, CHEATERS and CHEAP that you Fooled me that my numbers are removed from your database but still your SILLY STUPID IDIOT MORON ...Read More",1
"Concept is good and was unique at the time of launch.

I am personally using it for my onlune banking pourposes.

Easy to transfer money

Provides various features for online shooping and other transactions.

Layout and designe of the app is good and user-friendly as compared to other ba...Read More",3
"Its really a good mobile banking app.its favarouble for online bookings etc.most available features are booking movie tickets, travelling tickets and hotel booking, net banking( to transfer money from one account to another account so easily) thats the reason this app is very favourable so frnds...Read More",3
"Kotak

One of the best app for using

Easily transfer money

Loyalty and value for time

Fastest growing company

Big market

I have savings account in kotalk Mahindra bank from last year I have great experience with it so I personally suggest you to go with it

Its secure and fast...Read More",4
"Poor experience everything from concept , functions, layout and designs are very bad experience .not appreciating at all.and also not recommanding at all. Not useful app.

Waste of the time. never download this app lots of ads . just an headache.

Deleted very soon after downloading.

Impr...Read More",3
Without bank balance a good deal.kotak bank is giving you a zero bank balance account.with digital debit card and all bank facility.the process is fast for bank acc opening.in this competative world a good facility.banking would not been so easy .a good bank for all types of online banking.onlin...Read More,3
"Hi friends.i came here to share my personal experinece about this application called kotak 811.

This bank good and awsome service.no other bank beat.they will personal loan also easily with low intrest.but this application not good because it caontain lots of ad also.sometimes OTP willa not r...Read More",1
Hey friend I have been using this application since 6 months but it lag behind due to many reasons. There is charge deduction of some amount during each fund transfer through IMPS gateway. The layout of this application is not good. Inhidden charges are being cut from the account in particular s...Read More,1
Hi friends . Kotak811 is the best app available on the google play store for mobile banking using kotak 811 you can create a savings bank account in just three steps in less than 5 minutes.once you open a account you have to do your KYC and generate a MPIN to access your account. The kotak 811 a...Read More,5
"Kotak Is the bank app is not good working

When I try to open a bank account is tell to open kotak banking website.

It is not working by app to open a free bank account.

It is not good such as other banking app it is not good to open quickly open bank account.

I recommended to use ano...Read More",1
"I downlaod kotak -811 aap its working well and use full .

Concept - kotak-811 concept is very I cam do all my neet about finecial like money transfer .pay bill , and many more and also its all about maintinence zero balance .

Faculty - kotak give you hear all type or service like check boo...Read More",3
"This kotak mobile banking app is really very good. It helped me to open a bank account within just 10 minutes. I just need an aadhar card and my pan card number. I get a very good experience with this app also I completed my kyc from home. This app provides very good features like imps, mobile r...Read More",4
"I want to open an account on 811 kotak mobile app. It asked me about my details like Adhaar Card, Pan Card etc. I gave all the details. But at Last it Said that Banking Services not available in your area. I'm very disappointed with this. If anyone wants to open an account in kotak Mahindra Bank...Read More",1
"If you are lazy like me and want to open a bank account and dont want to stand in queue then this is for you.

Kotak mahindra bank launched 811 mobile banking to open your account online in app at zero balance.

You can apply for debit card and cheque book and after its done you can collect ...Read More",5
"Hello everyone , today I shares my personal experince about this app .This app has many features firstly this account zero balance account to open this account you have submit your kyc document through the agent of the bank . I am using kotak mahindra mobile banking and open saving account at ko...Read More",5
"This is the one of the other best serveice provided by the kotak bank , it is now easy being connected with account and family .We can easily share our mont with freinds and family no internet banking option is requried , just open and register with your account and get started .The only very re...Read More",4
"You can deposit money into your 811 account via a payment gateway using your Debit Card or Net Banking or just do funds transfer from your another account through NEFT or IMPS. You can also do a cash deposit in this account by visiting the nearest Kotak Mahindra Bank branch.

...Read More",3
Katak mahindra bank take good step to attrakt people at online banking . it make major role at digital india concept . katak 811 mobile banking is good service compare to other and easly open new account in home at five second and they give a lots offer in movie set booking and critaria also ang...Read More,4
"Well it was a urgency to open a online saving account and also it was not possible for me to reach the bank, I downloaded kotak -811mobile bank to open my bank account however despite filling all the information and alzo my axhar pan details I could not open the acvount as because for pincode 71...Read More",1
This is a account which we can open in five seconds and then proceeded at same time for our canviniance it is also have mobile banking system so people will like this app In right process mahindra 811 bank account is becoming famous in technical difficulties of bank proces and one more beneficia...Read More,4
"I am is app since from the 1 year.

Its good and very comfortable and more secure.

Without any login passwords you can login via the otp which is send your mobile and awsome app

And its light weight app.

But the bank must improve their deposit polices man.

Its vool to be using and ...Read More",3
"Hi friends I would like to share my experience with Kotak Mahindra Bank, I I have open an account with them and I am easily able to transfer funds from any other bank to this account and they are also giving you an ATM card for just 199 rupees which is giving you free transactions and it is very...Read More",4
"I am Kotak Bank account holder since 2014. My salary account is in Kotak so I am using this app for last few months and most of the features of this app is very good. Money transfer, ticket booking, recharge and many more things available with this apps. In my opinion money transfer with this ap...Read More",4
"Kotak - 811 and mobile banking it looks good that we get a saving account without visiting the branch that too within 5 minutes. But actually it is not a proper saving account it is just like other existing mobile wallets like icici pocket, zeta powered by RBL bank etc. where you are required to...Read More",2
"It gives lot of offers on online shopping, flight booking

and also gives many more other experience by simple 811. It minimize wasting of time to open account in bank and provide account that give all the facility that original account holder with passbook get.it also minimize effort to handl...Read More",3
"Kotak- 811 mobile banking app is amazing mobile banking app because that provides all services in one app. When I install this app, Then I have no kotak bank a/c but I open my saving a/c in 2-5 minutes by this app through Aaadhar ekyc.

This mobile app provides all banking and useful services....Read More",4
I have a very good experience with mobile banking that too with Kotak- 811. I don't have bank account in Kotak -811 bank but I use my brother account which is easily in his mobile to use internet banking services very easily. It is India's first downloadable account service. You can even open yo...Read More,3
"Actually I downloaded but I cannot open account not only 5 mins in a hour also. After trying and tired I got custmer centre call to my number. After a long time he decided that we cannot help you sir.

We understand that village people who are far atleast 80km from branches of kotak we cannot ...Read More",3
